"Point","North_cor","East_cor","BedSE","WaterSE","Depth_cor","Code","VertPrec"
"3",1841898.397,6057078.927,26.095,NA,NA,"topo",NA
"4",1841904.076,6057074.206,25.855,NA,NA,"cp01",NA
"5",1841940.532,6057119.087,11.598,NA,NA,"topo",NA
"6",1841934.335,6057105.775,10.897,NA,NA,"topo",NA
"7",1842101.88,6057086.985,9.703,NA,NA,"topo",NA
"9",1842096.977,6057079.206,11.018,NA,NA,"topo",NA
"10",1842100.717,6057068.598,14.714,NA,NA,"levee",NA
"11",1842090.684,6057050.518,14.699,NA,NA,"levee",NA
"12",1842079.394,6057032.15,14.826,NA,NA,"levee",NA
"13",1842067.632,6057004.33,15.343,NA,NA,"levee",NA
"14",1842052.466,6057013.996,9.613,NA,NA,"topo",NA
"16",1842037.088,6057013.785,6.29,NA,NA,"topo",NA
"17",1842032.442,6057012.563,5.662,NA,NA,"topo",NA
"18",1842036.844,6057025.236,5.998,NA,NA,"topo",NA
"20",1842034.206,6056996.23,10.541,NA,NA,"topo",NA
"21",1842020.131,6056984.433,9.855,NA,NA,"topo",NA
"22",1842016.329,6056987.284,6.524,NA,NA,"topo",NA
"24",1842011.757,6056973.341,10.374,NA,NA,"topo",NA
"25",1842006.01,6056978.53,7.104,NA,NA,"topo",NA
"26",1841984.472,6056943.145,8.214,NA,NA,"topo",NA
"28",1841993.239,6056933.002,11.038,NA,NA,"topo",NA
"29",1841979.121,6056921.107,7.865,NA,NA,"topo",NA
"30",1841969.917,6056917.807,6.653,NA,NA,"topo",NA
"31",1841963.445,6056913.579,6.1,NA,NA,"topo",NA
"32",1841971.56,6056902.761,6.168,NA,NA,"topo",NA
"33",1841986.076,6056897.438,7.053,NA,NA,"topo",NA
"35",1841980.829,6056893.88,5.724,NA,NA,"topo",NA
"36",1841973.057,6056891.99,6.45,NA,NA,"topo",NA
"37",1841961.391,6056888.651,8.343,NA,NA,"topo",NA
"38",1841957.53,6056899.032,7.384,NA,NA,"topo",NA
"39",1841942.325,6056898.559,8.453,NA,NA,"topo",NA
"40",1841938.949,6056913.003,7.714,NA,NA,"topo",NA
"41",1841944.126,6056934.092,6.405,NA,NA,"topo",NA
"42",1841929.568,6056931.01,6.616,NA,NA,"topo",NA
"43",1841914.263,6056918.606,8.237,NA,NA,"topo",NA
"44",1841912.194,6056930.575,7.298,NA,NA,"topo",NA
"45",1841913.556,6056938.879,5.724,NA,NA,"topo",NA
"46",1841898.529,6056931.435,7.344,NA,NA,"topo",NA
"47",1841892.56,6056916.357,8.588,NA,NA,"topo",NA
"48",1841877.811,6056922.118,7.633,NA,NA,"topo",NA
"49",1841869.259,6056915.773,8.569,NA,NA,"topo",NA
"50",1841871.026,6056923.271,6.117,NA,NA,"topo",NA
"51",1841864.941,6056925.664,6.445,NA,NA,"topo",NA
"52",1841861.631,6056935.86,8.192,NA,NA,"topo",NA
"53",1841866.446,6056936.204,5.87,NA,NA,"topo",NA
"54",1841867.634,6056947.041,6.467,NA,NA,"topo",NA
"55",1841864.934,6056952.067,8.107,NA,NA,"topo",NA
"56",1841873.069,6056962.646,6.189,NA,NA,"topo",NA
"57",1841870.88,6056970.138,8.17,NA,NA,"topo",NA
"58",1841879.458,6056974.959,5.757,NA,NA,"topo",NA
"59",1841876.558,6056983.902,8.221,NA,NA,"topo",NA
"60",1841888.01,6056990.173,5.608,NA,NA,"topo",NA
"61",1841885.988,6057000.067,8.067,NA,NA,"topo",NA
"62",1841898.352,6057005.225,5.704,NA,NA,"topo",NA
