"Point","North_cor","East_cor","Code","BedSE"
"3",1841898.397,6057078.927,"topo",26.095
"4",1841904.076,6057074.206,"cp01",25.855
"5",1841940.532,6057119.087,"topo",11.598
"6",1841934.335,6057105.775,"topo",10.897
"7",1842101.88,6057086.985,"topo",9.703
"8",1842092.95,6057084.661,"wse",9.124
"9",1842096.977,6057079.206,"topo",11.018
"10",1842100.717,6057068.598,"levee",14.714
"11",1842090.684,6057050.518,"levee",14.699
"12",1842079.394,6057032.15,"levee",14.826
"13",1842067.632,6057004.33,"levee",15.343
"14",1842052.466,6057013.996,"topo",9.613
"15",1842044.508,6057011.683,"wse",9.128
"16",1842037.088,6057013.785,"topo",6.29
"17",1842032.442,6057012.563,"topo",5.662
"18",1842036.844,6057025.236,"topo",5.998
"19",1842026.325,6056996.589,"wse",9.059
"20",1842034.206,6056996.23,"topo",10.541
"21",1842020.131,6056984.433,"topo",9.855
"22",1842016.329,6056987.284,"topo",6.524
"23",1842013.242,6056978.302,"wse",9.252
"24",1842011.757,6056973.341,"topo",10.374
"25",1842006.01,6056978.53,"topo",7.104
"26",1841984.472,6056943.145,"topo",8.214
"27",1841985.444,6056931.281,"wse",9.123
"28",1841993.239,6056933.002,"topo",11.038
"29",1841979.121,6056921.107,"topo",7.865
"30",1841969.917,6056917.807,"topo",6.653
"31",1841963.445,6056913.579,"topo",6.1
"32",1841971.56,6056902.761,"topo",6.168
"33",1841986.076,6056897.438,"topo",7.053
"34",1841992.653,6056903.804,"wse",9.133
"35",1841980.829,6056893.88,"topo",5.724
"36",1841973.057,6056891.99,"topo",6.45
"37",1841961.391,6056888.651,"topo",8.343
"38",1841957.53,6056899.032,"topo",7.384
"39",1841942.325,6056898.559,"topo",8.453
"40",1841938.949,6056913.003,"topo",7.714
"41",1841944.126,6056934.092,"topo",6.405
"42",1841929.568,6056931.01,"topo",6.616
"43",1841914.263,6056918.606,"topo",8.237
"44",1841912.194,6056930.575,"topo",7.298
"45",1841913.556,6056938.879,"topo",5.724
"46",1841898.529,6056931.435,"topo",7.344
"47",1841892.56,6056916.357,"topo",8.588
"48",1841877.811,6056922.118,"topo",7.633
"49",1841869.259,6056915.773,"topo",8.569
"50",1841871.026,6056923.271,"topo",6.117
"51",1841864.941,6056925.664,"topo",6.445
"52",1841861.631,6056935.86,"topo",8.192
"53",1841866.446,6056936.204,"topo",5.87
"54",1841867.634,6056947.041,"topo",6.467
"55",1841864.934,6056952.067,"topo",8.107
"56",1841873.069,6056962.646,"topo",6.189
"57",1841870.88,6056970.138,"topo",8.17
"58",1841879.458,6056974.959,"topo",5.757
"59",1841876.558,6056983.902,"topo",8.221
"60",1841888.01,6056990.173,"topo",5.608
"61",1841885.988,6057000.067,"topo",8.067
"62",1841898.352,6057005.225,"topo",5.704
"63",1841896.794,6057016.037,"topo",7.774
"64",1841902.152,6057020.193,"topo",7.293
"65",1841900.391,6057026.95,"topo",7.742
"66",1841896.922,6057024.201,"wse",9.183
"67",1841886.186,6057010.833,"wse",9.11
"68",1841877.687,6056992.859,"wse",9.117
"69",1841870.412,6056976,"wse",9.174
"70",1841865.18,6056961.927,"wse",9.147
"71",1841860.717,6056944.492,"wse",9.166
"72",1841858.874,6056926.474,"wse",9.15
"73",1841870.566,6056911.205,"wse",9.114
"74",1841892.251,6056909.446,"wse",9.07
"75",1841913.488,6056910.356,"wse",9.101
"76",1841932.428,6056900.176,"wse",9.132
"77",1841950.597,6056892.146,"wse",9.07
"78",1841960.36,6056883.917,"wse",9.108
"79",1841952.027,6056875.556,"beach",10.089
"80",1841932.842,6056872.95,"beach",10.436
"81",1841916.844,6056880.219,"beach",10.588
"82",1841893.174,6056873.6,"beach",11.009
"83",1841873.069,6056898.481,"beach",10.144
"84",1841860.754,6056895.722,"beach",11.238
"85",1841844.645,6056894.523,"beach",15.5
"86",1841842.906,6056903.502,"beach",15.193
"87",1841843.207,6056924.885,"beach",15.082
"88",1841847.143,6056941.232,"beach",14.444
"89",1841853.103,6056958.406,"beach",14.051
"90",1841858.423,6056973.121,"beach",13.464
"91",1841864.524,6056986.719,"beach",12.361
"92",1841872.639,6056998.004,"beach",10.525
"93",1841878.285,6057006.531,"beach",9.805
"94",1841882.004,6057013.566,"beach",9.9
"95",1841931.532,6057056.772,"topo",5.69
"96",1841933.709,6057062.54,"topo",6.723
"97",1841929.883,6057070.523,"wse",9.164
"98",1841935.117,6057071.635,"topo",6.44
"99",1841940.436,6057073.803,"topo",5.839
"100",1841938.142,6057080.441,"topo",6.353
"101",1841933.208,6057081.355,"wse",9.104
"102",1841935.651,6057089.611,"wse",9.15
"103",1841938.825,6057087.793,"topo",6.73
"104",1841942.066,6057084.671,"topo",6.006
"105",1841938.865,6057090.395,"topo",6.785
"106",1841940.891,6057097.614,"topo",6.439
"107",1841941.232,6057103.257,"wse",9.038
"108",1841946.926,6057102.746,"topo",6.414
"109",1841947.432,6057109.288,"topo",6.411
"110",1841955.797,6057110.933,"topo",6.643
"111",1841961.304,6057111.575,"topo",6.485
"112",1841957.231,6057121.216,"wse",9.139
"113",1841966.929,6057131.07,"wse",9.101
"114",1841961.777,6057118.055,"topo",6.746
"115",1841967.978,6057118.553,"topo",6.41
"116",1841968.056,6057125.141,"topo",6.813
"117",1841976.685,6057125.733,"topo",6.68
"118",1841982.34,6057127.99,"topo",6.408
"119",1841976.146,6057132.424,"topo",6.879
"120",1841971.497,6057138.211,"wse",9.129
"121",1841967.66,6057139.484,"topo",9.911
"122",1841955.964,6057129.969,"topo",10.701
"123",1841930.542,6057126.607,"topo",12.897
"124",1841960.444,6057153.672,"levee",13.507
"125",1841967.921,6057162.416,"levee",13.288
"126",1841979.542,6057168.556,"levee",14.199
"127",1841989.722,6057175.5,"levee",14.724
"128",1841999.745,6057183.409,"levee",14.478
"129",1842007.573,6057190.517,"levee",15.197
"130",1842016.778,6057199.674,"levee",14.991
"131",1842031.908,6057187.721,"topo",10.787
"132",1842021.08,6057180.967,"topo",10.504
"133",1842011.918,6057175.17,"topo",10.271
"134",1842030.543,6057186.113,"wse",9.181
"135",1842003.642,6057166.892,"topo",10.179
"136",1841986.372,6057154.215,"topo",9.843
"137",1841979.189,6057148.549,"topo",9.705
"138",1841979.786,6057146.517,"wse",9.169
"139",1841982.651,6057144.145,"topo",7.178
"140",1841988.993,6057151.984,"wse",9.127
"141",1841992.473,6057151.885,"topo",7.44
