"North_cor","East_cor","WaterSE","Code","Point","VertPrec"
1842092.95,6057084.661,9.124,"wse","8",NA
1842044.508,6057011.683,9.128,"wse","15",NA
1842026.325,6056996.589,9.059,"wse","19",NA
1842013.242,6056978.302,9.252,"wse","23",NA
1841985.444,6056931.281,9.123,"wse","27",NA
1841992.653,6056903.804,9.133,"wse","34",NA
1841896.922,6057024.201,9.183,"wse","66",NA
1841886.186,6057010.833,9.11,"wse","67",NA
1841877.687,6056992.859,9.117,"wse","68",NA
1841870.412,6056976,9.174,"wse","69",NA
1841865.18,6056961.927,9.147,"wse","70",NA
1841860.717,6056944.492,9.166,"wse","71",NA
1841858.874,6056926.474,9.15,"wse","72",NA
1841870.566,6056911.205,9.114,"wse","73",NA
1841892.251,6056909.446,9.07,"wse","74",NA
1841913.488,6056910.356,9.101,"wse","75",NA
1841932.428,6056900.176,9.132,"wse","76",NA
1841950.597,6056892.146,9.07,"wse","77",NA
1841960.36,6056883.917,9.108,"wse","78",NA
1841929.883,6057070.523,9.164,"wse","97",NA
1841933.208,6057081.355,9.104,"wse","101",NA
1841935.651,6057089.611,9.15,"wse","102",NA
1841941.232,6057103.257,9.038,"wse","107",NA
1841957.231,6057121.216,9.139,"wse","112",NA
1841966.929,6057131.07,9.101,"wse","113",NA
1841971.497,6057138.211,9.129,"wse","120",NA
1842030.543,6057186.113,9.181,"wse","134",NA
1841979.786,6057146.517,9.169,"wse","138",NA
1841988.993,6057151.984,9.127,"wse","140",NA
1842001.593,6057162.53,9.132,"wse","142",NA
1842030.781,6057186.402,9.111,"wse","146",NA
1842051.229,6057196.319,9.168,"wse","148",NA
1842081.073,6057216.858,9.076,"wse","160",NA
1842091.472,6057229.571,9.129,"wse","161",NA
1842110.449,6057248.062,9.177,"wse","173",NA
1842136.88,6057276.361,9.162,"wse","177",NA
1842148.413,6057278.162,9.151,"wse","182",NA
1842212.867,6057360.306,9.152,"wse","207",NA
1842262.379,6057505.404,9.134,"wse","214",NA
1842138.758,6057154.015,9.095,"wse","252",NA
1842165.66,6057182.35,9.137,"wse","255",NA
1842198.221,6057208.501,9.161,"wse","259",NA
1842215.488,6057228.203,9.162,"wse","262",NA
1842224.451,6057229.959,10.33,"wse","263",NA
1842228.635,6057245.036,10.395,"wse","264",NA
1842231.665,6057248.317,9.164,"wse","265",NA
1842243.232,6057262.865,9.121,"wse","268",NA
1842260.98,6057283.524,9.123,"wse","271",NA
1842276.229,6057303.052,9.156,"wse","274",NA
1842314.326,6057345.021,9.176,"wse","288",NA
1842324.977,6057361.571,9.137,"wse","291",NA
1842328.111,6057388.525,9.127,"wse","294",NA
1842334.105,6057415.901,9.103,"wse","297",NA
1842315.5,6057470.892,9.158,"wse","302",NA
1842558.047,6057679.304,9.167,"wse","328",NA
1842583.507,6057690.323,9.173,"wse","331",NA
1842228.868,6057420.763,9.271,"wse","334",NA
1842231.334,6057431.277,9.307,"wse","335",NA
1842242.761,6057451.306,9.115,"wse","336",NA
1842245.978,6057459.057,9.122,"wse","338",NA
1842250.259,6057475.214,9.144,"wse","339",NA
1842262.632,6057502.597,9.142,"wse","340",NA
1842276.755,6057522.476,9.134,"wse","341",NA
1842291.224,6057548.246,9.192,"wse","342",NA
1842300.415,6057567.801,9.206,"wse","343",NA
1842329.058,6057603.415,9.162,"wse","344",NA
1842414.487,6057681.74,9.148,"wse","346",NA
1842469.1,6057705.176,9.152,"wse","347",NA
1842526.675,6057732.418,9.163,"wse","348",NA
1842605.167,6057762.795,9.3,"wse","349",NA
1842682.12,6057788.079,9.249,"wse","350",NA
1842864.466,6057838.671,9.217,"wse","351",NA
1843123.095,6057848.807,9.273,"wse","352",NA
1843120.546,6057808.796,9.275,"wse","353",NA
1843102.044,6057807.244,9.188,"wse","356",NA
1843060.932,6057796.134,9.297,"wse","357",NA
1842994.019,6057789.874,9.206,"wse","359",NA
1842944.957,6057784.377,9.327,"wse","360",NA
1842706.358,6057739.663,9.268,"wse","361",NA
1841945.957,6057106.078,7.83,"echo","1000",0.03166
1841945.947,6057106.086,7.824,"echo","1001",0.03165
1841945.967,6057106.086,7.799,"echo","1002",0.03164
1841946.002,6057106.079,7.826,"echo","1003",0.03164
1841946.033,6057106.064,7.831,"echo","1004",0.03163
1841946.058,6057106.056,7.826,"echo","1005",0.03161
1841948.768,6057106.707,7.787,"echo","1006",0.03103
1841948.766,6057106.448,7.814,"echo","1007",0.03103
1841948.929,6057105.888,7.801,"echo","1008",0.03102
1841949.44,6057105.236,7.836,"echo","1009",0.03102
1841950.109,6057104.606,7.846,"echo","1010",0.03102
1841950.715,6057103.927,7.89,"echo","1011",0.03121
1841950.786,6057103.262,7.862,"echo","1012",0.03101
1841950.217,6057102.576,7.793,"echo","1013",0.031
1841949.933,6057100.756,7.859,"echo","1015",0.03106
1841949.786,6057099.693,7.813,"echo","1016",0.03099
1841949.944,6057098.047,7.807,"echo","1017",0.03098
1841950.143,6057096.603,7.824,"echo","1018",0.03127
1841949.645,6057095.158,7.817,"echo","1019",0.03098
1841949.243,6057093.791,7.875,"echo","1020",0.03098
1841949.394,6057091.785,7.823,"echo","1021",0.03104
1841949.634,6057090.176,7.849,"echo","1022",0.03097
1841950.019,6057088.67,7.833,"echo","1023",0.03097
1841950.679,6057087.22,7.87,"echo","1024",0.03097
1841950.74,6057085.474,7.802,"echo","1025",0.03097
1841951.007,6057083.882,7.811,"echo","1026",0.03097
1841951.708,6057082.363,7.82,"echo","1027",0.03124
1841951.886,6057080.609,7.817,"echo","1028",0.03097
1841952.109,6057078.774,7.805,"echo","1029",0.03097
1841953.235,6057076.581,7.822,"echo","1030",0.03116
1841954.098,6057074.66,7.862,"echo","1031",0.03097
1841954.245,6057072.513,7.784,"echo","1032",0.03096
1841955.139,6057070.398,7.784,"echo","1033",0.03101
1841956.391,6057068.302,7.84,"echo","1034",0.03097
1841957.054,6057066.104,7.849,"echo","1035",0.03076
1841957.462,6057064.042,7.839,"echo","1036",0.03014
1841958.657,6057061.71,7.835,"echo","1037",0.03041
1841959.701,6057059.689,7.836,"echo","1038",0.03145
1841960.151,6057057.475,7.797,"echo","1039",0.03289
1841962.264,6057053.282,7.855,"echo","1041",0.03266
1841963.184,6057051.198,7.85,"echo","1042",0.0327
1841963.749,6057049.176,7.842,"echo","1043",0.03078
1841965.046,6057046.963,7.832,"echo","1044",0.03119
1841966.444,6057045.065,7.93,"echo","1045",0.03167
1841968.885,6057038.6,7.801,"echo","1048",0.03192
1841970.024,6057036.651,7.856,"echo","1049",0.0322
1841970.524,6057034.625,7.851,"echo","1050",0.03207
1841971.129,6057032.768,7.831,"echo","1051",0.03214
1841973.393,6057028.678,7.848,"echo","1053",0.03293
1841973.656,6057026.694,7.865,"echo","1054",0.03255
1841974.13,6057024.835,7.909,"echo","1055",0.03136
1841974.851,6057022.492,7.776,"echo","1056",0.03182
1841975.554,6057020.555,7.82,"echo","1057",0.0328
1841975.498,6057018.66,7.835,"echo","1058",0.03193
1841975.746,6057016.737,7.866,"echo","1059",0.03293
1841976.253,6057014.495,7.993,"echo","1060",0.03359
1841976.135,6057012.494,7.956,"echo","1061",0.03429
1841975.64,6057010.853,8.081,"echo","1062",0.03828
1841975.324,6057006.298,8.057,"echo","1064",0.04457
1841974.497,6057004.497,7.958,"echo","1065",0.05764
1841973.986,6057002.599,8.032,"echo","1066",0.04579
1841956.649,6056955.624,7.814,"echo","1075",0.06611
