Point,North,East,Elevation,Code
BASE,1841788.185,6057178.72,29.847,cp02
3,1841891.84,6057082.236,28.443,topo
4,1841897.519,6057077.515,28.203,cp01
5,1841933.975,6057122.396,13.946,topo
6,1841927.778,6057109.084,13.245,topo
7,1842095.323,6057090.294,12.051,9
8,1842086.393,6057087.97,11.472,wse
9,1842090.42,6057082.515,13.366,topo
10,1842094.16,6057071.907,17.062,levee
11,1842084.127,6057053.827,17.047,levee
12,1842072.837,6057035.459,17.174,levee
13,1842061.075,6057007.639,17.691,levee
14,1842045.909,6057017.305,11.961,topo
15,1842037.951,6057014.992,11.476,wse
16,1842030.531,6057017.094,8.638,topo
17,1842025.885,6057015.872,8.01,topo
18,1842030.287,6057028.545,8.346,topo
19,1842019.768,6056999.898,11.407,wse
20,1842027.649,6056999.539,12.889,topo
21,1842013.574,6056987.742,12.203,topo
22,1842009.772,6056990.593,8.872,topo
23,1842006.685,6056981.611,11.6,wse
24,1842005.2,6056976.65,12.722,topo
25,1841999.453,6056981.839,9.452,topo
26,1841977.915,6056946.454,10.562,topo
27,1841978.887,6056934.59,11.471,wse
28,1841986.682,6056936.311,13.386,topo
29,1841972.564,6056924.416,10.213,topo
30,1841963.36,6056921.116,9.001,topo
31,1841956.888,6056916.888,8.448,topo
32,1841965.003,6056906.07,8.516,topo
33,1841979.519,6056900.747,9.401,topo
34,1841986.096,6056907.113,11.481,wse
35,1841974.272,6056897.189,8.072,topo
36,1841966.5,6056895.299,8.798,topo
37,1841954.834,6056891.96,10.691,topo
38,1841950.973,6056902.341,9.732,topo
39,1841935.768,6056901.868,10.801,topo
40,1841932.392,6056916.312,10.062,topo
41,1841937.569,6056937.401,8.753,topo
42,1841923.011,6056934.319,8.964,topo
43,1841907.706,6056921.915,10.585,topo
44,1841905.637,6056933.884,9.646,topo
45,1841906.999,6056942.188,8.072,topo
46,1841891.972,6056934.744,9.692,topo
47,1841886.003,6056919.666,10.936,topo
48,1841871.254,6056925.427,9.981,topo
49,1841862.702,6056919.082,10.917,topo
50,1841864.469,6056926.58,8.465,topo
51,1841858.384,6056928.973,8.793,topo
52,1841855.074,6056939.169,10.54,topo
53,1841859.889,6056939.513,8.218,topo
54,1841861.077,6056950.35,8.815,topo
55,1841858.377,6056955.376,10.455,topo
56,1841866.512,6056965.955,8.537,topo
57,1841864.323,6056973.447,10.518,topo
58,1841872.901,6056978.268,8.105,topo
59,1841870.001,6056987.211,10.569,topo
60,1841881.453,6056993.482,7.956,topo
61,1841879.431,6057003.376,10.415,topo
62,1841891.795,6057008.534,8.052,topo
63,1841890.237,6057019.346,10.122,topo
64,1841895.595,6057023.502,9.641,topo
65,1841893.834,6057030.259,10.09,topo
66,1841890.365,6057027.51,11.531,wse
67,1841879.629,6057014.142,11.458,wse
68,1841871.13,6056996.168,11.465,wse
69,1841863.855,6056979.309,11.522,wse
70,1841858.623,6056965.236,11.495,wse
71,1841854.16,6056947.801,11.514,wse
72,1841852.317,6056929.783,11.498,wse
73,1841864.009,6056914.514,11.462,wse
74,1841885.694,6056912.755,11.418,wse
75,1841906.931,6056913.665,11.449,wse
76,1841925.871,6056903.485,11.48,wse
77,1841944.04,6056895.455,11.418,wse
78,1841953.803,6056887.226,11.456,wse
79,1841945.47,6056878.865,12.437,beach
80,1841926.285,6056876.259,12.784,beach
81,1841910.287,6056883.528,12.936,beach
82,1841886.617,6056876.909,13.357,beach
83,1841866.512,6056901.79,12.492,beach
84,1841854.197,6056899.031,13.586,beach
85,1841838.088,6056897.832,17.848,beach
86,1841836.349,6056906.811,17.541,beach
87,1841836.65,6056928.194,17.43,beach
88,1841840.586,6056944.541,16.792,beach
89,1841846.546,6056961.715,16.399,beach
90,1841851.866,6056976.43,15.812,beach
91,1841857.967,6056990.028,14.709,beach
92,1841866.082,6057001.313,12.873,beach
93,1841871.728,6057009.84,12.153,beach
94,1841875.447,6057016.875,12.248,beach
95,1841924.975,6057060.081,8.038,topo
96,1841927.152,6057065.849,9.071,topo
97,1841923.326,6057073.832,11.512,wse
98,1841928.56,6057074.944,8.788,topo
99,1841933.879,6057077.112,8.187,topo
100,1841931.585,6057083.75,8.701,topo
101,1841926.651,6057084.664,11.452,wse
102,1841929.094,6057092.92,11.498,wse
103,1841932.268,6057091.102,9.078,topo
104,1841935.509,6057087.98,8.354,topo
105,1841932.308,6057093.704,9.133,topo
106,1841934.334,6057100.923,8.787,topo
107,1841934.675,6057106.566,11.386,wse
108,1841940.369,6057106.055,8.762,wse
109,1841940.875,6057112.597,8.759,wse
110,1841949.24,6057114.242,8.991,topo
111,1841954.747,6057114.884,8.833,topo
112,1841950.674,6057124.525,11.487,wse
113,1841960.372,6057134.379,11.449,wse
114,1841955.22,6057121.364,9.094,topo
115,1841961.421,6057121.862,8.758,topo
116,1841961.499,6057128.45,9.161,topo
117,1841970.128,6057129.042,9.028,topo
118,1841975.783,6057131.299,8.756,topo
119,1841969.589,6057135.733,9.227,topo
120,1841964.94,6057141.52,11.477,wse
121,1841961.103,6057142.793,12.259,topo
122,1841949.407,6057133.278,13.049,topo
123,1841923.985,6057129.916,15.245,topo
124,1841953.887,6057156.981,15.855,levee
125,1841961.364,6057165.725,15.636,levee
126,1841972.985,6057171.865,16.547,levee
127,1841983.165,6057178.809,17.072,levee
128,1841993.188,6057186.718,16.826,levee
129,1842001.016,6057193.826,17.545,levee
130,1842010.221,6057202.983,17.339,levee
131,1842025.351,6057191.03,13.135,topo
132,1842014.523,6057184.276,12.852,topo
133,1842005.361,6057178.479,12.619,topo
134,1842023.986,6057189.422,11.529,wse
135,1841997.085,6057170.201,12.527,topo
136,1841979.815,6057157.524,12.191,topo
137,1841972.632,6057151.858,12.053,topo
138,1841973.229,6057149.826,11.517,wse
139,1841976.094,6057147.454,9.526,topo
140,1841982.436,6057155.293,11.475,wse
141,1841985.916,6057155.194,9.788,topo
142,1841995.036,6057165.839,11.48,wse
143,1841998.144,6057163.352,9.572,topo
144,1842003.612,6057170.388,9.809,topo
145,1842020.101,6057183.166,9.941,topo
146,1842024.224,6057189.711,11.459,wse
147,1842036.151,6057198.003,11.535,topo
148,1842044.672,6057199.628,11.516,wse
149,1842051.887,6057198.469,11.155,topo
150,1842035.856,6057221.746,16.894,levee
151,1842047.332,6057236.307,16.582,levee
152,1842061.749,6057252.15,16.281,levee
153,1842077.817,6057268.464,16.511,levee
154,1842091.088,6057251.128,12.769,topo
155,1842074.54,6057236.457,12.685,topo
156,1842060.758,6057222.52,12.584,topo
157,1842054.791,6057215.916,12.34,topo
158,1842066.227,6057216.706,11.963,topo
159,1842076.646,6057224.741,11.666,topo
160,1842074.516,6057220.167,11.424,wse
161,1842084.915,6057232.88,11.477,wse
162,1842091.45,6057230.501,9.773,topo
163,1842093.007,6057222.085,9.236,topo
164,1842094.54,6057210.167,9.186,topo
165,1842085.073,6057201.065,9.076,topo
166,1842080.941,6057191.379,8.649,topo
167,1842071.709,6057183.958,8.526,topo
168,1842061.53,6057179.522,8.468,topo
169,1842108.432,6057211.847,8.525,topo
170,1842099.312,6057227.114,9.336,topo
171,1842082.681,6057247.397,13.2,topo
172,1842095.658,6057250.008,12.967,topo
173,1842103.892,6057251.371,11.525,wse
174,1842100.66,6057271.789,13.356,topo
175,1842115.942,6057273.414,12.315,topo
176,1842120.774,6057290.016,12.864,topo
177,1842130.323,6057279.67,11.51,wse
178,1842116.374,6057315.778,17.206,levee
179,1842130.033,6057296.883,12.89,topo
180,1842139.426,6057287.679,11.636,topo
181,1842145.586,6057281.123,10.147,topo
182,1842141.856,6057281.471,11.499,wse
183,1842144.144,6057273.103,9.536,topo
184,1842151.995,6057270.841,8.725,topo
185,1842147.912,6057257.126,8.906,topo
186,1842157.544,6057247.659,8.727,topo
187,1842167.173,6057255.282,8.483,topo
188,1842171.641,6057258.745,8.44,topo
189,1842170.676,6057273.275,8.823,topo
190,1842179.82,6057280.244,8.597,topo
191,1842190.389,6057284.87,8.486,topo
192,1842197.653,6057291.505,8.443,topo
193,1842181.627,6057305.201,8.576,topo
194,1842172.936,6057296.738,8.846,topo
195,1842147.443,6057300.528,11.852,topo
196,1842145.838,6057309.938,12.794,topo
197,1842161.378,6057314.197,11.65,topo
198,1842161.908,6057335.314,12.933,topo
199,1842178.518,6057331.473,11.557,topo
200,1842157.726,6057362.926,17.664,levee
201,1842187.989,6057351.878,12.028,topo
202,1842192.193,6057371.701,13.279,topo
203,1842214.812,6057381.435,12.12,topo
204,1842220.146,6057400.087,13.309,topo
205,1842227.282,6057402.161,12.706,topo
206,1842201.679,6057368.964,11.39,topo
207,1842206.31,6057363.615,11.5,wse
208,1842211.228,6057360.824,10.245,topo
209,1842204.613,6057407.931,18.943,levee
210,1842214.695,6057440.341,17.753,levee
211,1842221.379,6057454.491,16.514,levee
212,1842239.671,6057490.95,13.988,topo
213,1842251.623,6057515.668,12.714,topo
214,1842255.822,6057508.713,11.482,wse
215,1842185.521,6057263.576,8.122,topo
216,1842195.918,6057290.537,8.418,topo
217,1842211.096,6057295.726,8.081,topo
218,1842212.315,6057314.265,8.291,topo
219,1842217.158,6057327.178,8.239,topo
220,1842229.114,6057329.888,7.702,topo
221,1842223.984,6057343.252,8.055,topo
222,1842232.028,6057348.657,7.648,topo
223,1842224.567,6057354.957,8.05,topo
224,1842201.942,6057334.321,8.203,topo
225,1842183.479,6057308.639,8.553,topo
226,1842146.609,6057241.889,8.682,topo
227,1842131.795,6057235.734,8.739,topo
228,1842130.272,6057219.498,7.805,topo
229,1842117.487,6057214.103,8.135,topo
230,1842111.317,6057207.927,7.711,topo
231,1842101.592,6057198.772,7.468,topo
232,1842087.984,6057189.838,7.823,topo
233,1842080.307,6057182.797,7.331,topo
234,1842063.699,6057181.305,8.156,topo
235,1842057.233,6057178.53,8.112,topo
236,1842049.228,6057173.412,8.172,topo
237,1842041.161,6057168.626,8.323,topo
238,1842035.042,6057163.82,8.096,topo
239,1842026.201,6057162.304,8.601,topo
240,1842014.314,6057171.629,9.484,topo
241,1841897.315,6057077.62,28.213,cb01b
242,1841899.27,6057067.353,29.748,bridge
243,1841908.434,6057066.649,19.744,rocks
244,1841914.664,6057066.915,17.843,rocks
245,1841912.873,6057061.326,16.63,rocks
246,1841920.004,6057071.005,15.497,rocks
247,1841919.812,6057079.668,17.267,rocks
248,1842151.145,6056915.948,14.738,cpx
249,1842139.46,6057147.834,11.717,topo
250,1842147.503,6057145.591,11.894,topo
251,1842135.951,6057152.991,11.6,topo
252,1842132.201,6057157.324,11.443,wse
253,1842155.455,6057154.562,12.166,topo
254,1842154.341,6057174.635,12.059,topo
255,1842159.103,6057185.659,11.485,wse
256,1842172.42,6057173.953,12.665,topo
257,1842177.915,6057191.756,12.536,topo
258,1842196.424,6057202.602,13.222,topo
259,1842191.664,6057211.81,11.509,wse
260,1842201.123,6057212.918,12.744,topo
261,1842215.623,6057224.51,13.061,topo
262,1842208.931,6057231.512,11.51,wse
263,1842217.894,6057233.268,12.678,wse
264,1842222.078,6057248.345,12.743,wse
265,1842225.108,6057251.626,11.512,wse
266,1842235.232,6057250.193,13.395,topo
267,1842234.795,6057260.072,12.478,topo
268,1842236.675,6057266.174,11.469,wse
269,1842248.436,6057272.277,13.113,topo
270,1842253.258,6057281.53,12.889,topo
271,1842254.423,6057286.833,11.471,wse
272,1842264.638,6057290.046,12.858,topo
273,1842268.12,6057301.952,12.361,topo
274,1842269.672,6057306.361,11.504,wse
275,1842268.584,6057311.663,8.667,topo
276,1842247.611,6057248.028,17.636,levee
277,1842230.65,6057225.863,17.192,levee
278,1842217.081,6057210.543,16.301,levee
279,1842204.044,6057195.843,15.824,levee
280,1842283.836,6057289.72,17.849,levee
281,1842292.019,6057301.487,17.894,levee
