BASE,1841788.185,6057178.720,29.847,cp02
0003,1841891.840,6057082.236,28.443,topo
0004,1841897.519,6057077.515,28.203,cp01
0005,1841933.975,6057122.396,13.946,topo
0006,1841927.778,6057109.084,13.245,topo
0007,1842095.323,6057090.294,12.051,9
0008,1842086.393,6057087.970,11.472,wse
0009,1842090.420,6057082.515,13.366,topo
0010,1842094.160,6057071.907,17.062,levee
0011,1842084.127,6057053.827,17.047,levee
0012,1842072.837,6057035.459,17.174,levee
0013,1842061.075,6057007.639,17.691,levee
0014,1842045.909,6057017.305,11.961,topo
0015,1842037.951,6057014.992,11.476,wse
0016,1842030.531,6057017.094,8.638,topo
0017,1842025.885,6057015.872,8.010,topo
0018,1842030.287,6057028.545,8.346,topo
0019,1842019.768,6056999.898,11.407,wse
0020,1842027.649,6056999.539,12.889,topo
0021,1842013.574,6056987.742,12.203,topo
0022,1842009.772,6056990.593,8.872,topo
0023,1842006.685,6056981.611,11.600,wse
0024,1842005.200,6056976.650,12.722,topo
0025,1841999.453,6056981.839,9.452,topo
0026,1841977.915,6056946.454,10.562,topo
0027,1841978.887,6056934.590,11.471,wse
0028,1841986.682,6056936.311,13.386,topo
0029,1841972.564,6056924.416,10.213,topo
0030,1841963.360,6056921.116,9.001,topo
0031,1841956.888,6056916.888,8.448,topo
0032,1841965.003,6056906.070,8.516,topo
0033,1841979.519,6056900.747,9.401,topo
0034,1841986.096,6056907.113,11.481,wse
0035,1841974.272,6056897.189,8.072,topo
0036,1841966.500,6056895.299,8.798,topo
0037,1841954.834,6056891.960,10.691,topo
0038,1841950.973,6056902.341,9.732,topo
0039,1841935.768,6056901.868,10.801,topo
0040,1841932.392,6056916.312,10.062,topo
0041,1841937.569,6056937.401,8.753,topo
0042,1841923.011,6056934.319,8.964,topo
0043,1841907.706,6056921.915,10.585,topo
0044,1841905.637,6056933.884,9.646,topo
0045,1841906.999,6056942.188,8.072,topo
0046,1841891.972,6056934.744,9.692,topo
0047,1841886.003,6056919.666,10.936,topo
0048,1841871.254,6056925.427,9.981,topo
0049,1841862.702,6056919.082,10.917,topo
0050,1841864.469,6056926.580,8.465,topo
0051,1841858.384,6056928.973,8.793,topo
0052,1841855.074,6056939.169,10.540,topo
0053,1841859.889,6056939.513,8.218,topo
0054,1841861.077,6056950.350,8.815,topo
0055,1841858.377,6056955.376,10.455,topo
0056,1841866.512,6056965.955,8.537,topo
0057,1841864.323,6056973.447,10.518,topo
0058,1841872.901,6056978.268,8.105,topo
0059,1841870.001,6056987.211,10.569,topo
0060,1841881.453,6056993.482,7.956,topo
0061,1841879.431,6057003.376,10.415,topo
0062,1841891.795,6057008.534,8.052,topo
0063,1841890.237,6057019.346,10.122,topo
0064,1841895.595,6057023.502,9.641,topo
0065,1841893.834,6057030.259,10.090,topo
