Point,North,East,Elevation,Depth,Code,GPSweek,Seconds,SurvMeth,HorzPrec,VertPrec,NumSat,PDOP,HDOP,VDOP,RMS,NumPosUsed,Latency,Battery Voltage,Quality,Flags
BASE,1841788.185,6057178.72,29.847,,cp02,,,KeyedIn,,,,,,,,,0,,,
1,1841892.364,6057082.105,28.39,,topo,2225,229948,RTK,0.01236,0.02096,17,1.29036,0.64355,1.11842,,2,0,,,
2,1841897.516,6057077.519,28.207,,cp01,2225,229975,RTK,0.01258,0.02136,17,1.29236,0.64378,1.1206,,2,0,,,
1000,1841939.4,6057109.387,10.828,1.772,echo,2225,232403,RTK,0.0198,0.03166,17,1.34234,0.61668,1.1923,,1,0,11,125,0
1001,1841939.39,6057109.395,10.822,1.804,echo,2225,232404,RTK,0.0198,0.03165,17,1.34234,0.61668,1.1923,,1,0,11.1,124,0
1002,1841939.41,6057109.395,10.797,1.804,echo,2225,232405,RTK,0.01979,0.03164,17,1.34234,0.61668,1.1923,,1,0,11,125,0
1003,1841939.445,6057109.388,10.824,1.87,echo,2225,232406,RTK,0.01979,0.03164,17,1.34233,0.61668,1.19229,,1,0,11.1,125,0
1004,1841939.476,6057109.373,10.829,1.87,echo,2225,232407,RTK,0.01978,0.03163,17,1.34233,0.61668,1.19229,,1,0,11,124,0
1005,1841939.501,6057109.365,10.824,1.87,echo,2225,232408,RTK,0.01977,0.03161,17,1.34233,0.61668,1.19229,,1,0,11.1,124,0
1006,1841942.211,6057110.016,10.785,1.772,echo,2225,232490,RTK,0.01941,0.03103,17,1.34179,0.61673,1.19166,,1,0,11,125,0
1007,1841942.209,6057109.757,10.812,1.312,echo,2225,232491,RTK,0.0194,0.03103,17,1.34179,0.61673,1.19166,,1,0,11,107,0
1008,1841942.372,6057109.197,10.799,1.312,echo,2225,232492,RTK,0.0194,0.03102,17,1.34177,0.61673,1.19163,,1,0,11,118,0
1009,1841942.883,6057108.545,10.834,2.001,echo,2225,232493,RTK,0.0194,0.03102,17,1.34177,0.61673,1.19163,,1,0,11,123,0
1010,1841943.552,6057107.915,10.844,1.903,echo,2225,232494,RTK,0.0194,0.03102,17,1.34174,0.61674,1.1916,,1,0,11,116,0
1011,1841944.158,6057107.236,10.888,2.001,echo,2225,232495,RTK,0.0195,0.03121,17,1.34174,0.61674,1.1916,,1,0,11,122,0
1012,1841944.229,6057106.571,10.86,1.969,echo,2225,232496,RTK,0.01939,0.03101,17,1.34172,0.61674,1.19157,,1,0,11.1,125,0
1013,1841943.66,6057105.885,10.791,2.001,echo,2225,232497,RTK,0.01939,0.031,17,1.34172,0.61674,1.19157,,1,0,11.1,125,0
1014,1841943.429,6057105.269,10.837,,echo,2225,232498,RTK,0.01939,0.031,17,1.34169,0.61674,1.19154,,1,0,,,
1015,1841943.376,6057104.065,10.857,2.067,echo,2225,232499,RTK,0.01945,0.03106,17,1.34169,0.61674,1.19154,,1,0,11,124,0
1016,1841943.229,6057103.002,10.811,2.067,echo,2225,232500,RTK,0.01938,0.03099,17,1.34167,0.61674,1.19151,,1,0,11,124,0
1017,1841943.387,6057101.356,10.805,2.165,echo,2225,232501,RTK,0.01938,0.03098,17,1.34167,0.61674,1.19151,,1,0,11,112,0
1018,1841943.586,6057099.912,10.822,2.165,echo,2225,232502,RTK,0.01948,0.03127,17,1.34164,0.61674,1.19148,,1,0,11,124,0
1019,1841943.088,6057098.467,10.815,2.165,echo,2225,232503,RTK,0.01938,0.03098,17,1.34164,0.61674,1.19148,,1,0,11,125,0
1020,1841942.686,6057097.1,10.873,2.362,echo,2225,232504,RTK,0.0195,0.03098,17,1.34161,0.61675,1.19145,,1,0,11,121,0
1021,1841942.837,6057095.094,10.821,2.297,echo,2225,232505,RTK,0.01961,0.03104,17,1.34161,0.61675,1.19145,,1,0,11.1,108,0
1022,1841943.077,6057093.485,10.847,2.395,echo,2225,232506,RTK,0.01937,0.03097,17,1.34159,0.61675,1.19142,,1,0,11,124,0
1023,1841943.462,6057091.979,10.831,2.493,echo,2225,232507,RTK,0.01937,0.03097,17,1.34159,0.61675,1.19142,,1,0,11,116,0
1024,1841944.122,6057090.529,10.868,2.69,echo,2225,232508,RTK,0.01937,0.03097,17,1.34156,0.61675,1.19139,,1,0,11.1,124,0
